facility_id,facility_name,state,county,hospital_type,hospital_ownership,emergency_services,overall_rating,_mort_worse,_safety_worse,_readm_worse,patient_star_avg,survey_response_rate,completed_surveys,timely_care_avg,composite_risk_score,is_underperformer
010001,SOUTHEAST HEALTH MEDICAL CENTER,AL,HOUSTON,Acute Care Hospitals,Government - Hospital District or Authority,1,4.0,0.0,0.0,1.0,3.6666666666666665,17.0,952.0,72.5,1.0,1
010005,MARSHALL MEDICAL CENTERS,AL,MARSHALL,Acute Care Hospitals,Government - Hospital District or Authority,1,3.0,1.0,0.0,0.0,3.111111111111111,17.0,705.0,72.72727272727273,1.0,1
010006,NORTH ALABAMA MEDICAL CENTER,AL,LAUDERDALE,Acute Care Hospitals,Proprietary,1,2.0,3.0,0.0,0.0,2.111111111111111,18.0,1814.0,69.42857142857143,3.0,1
010007,MIZELL MEMORIAL HOSPITAL,AL,COVINGTON,Acute Care Hospitals,Voluntary non-profit - Private,1,1.0,1.0,0.0,2.0,,17.0,97.0,46.0,3.0,1
010011,ST. VINCENT'S EAST,AL,JEFFERSON,Acute Care Hospitals,Voluntary non-profit - Private,1,3.0,0.0,0.0,2.0,2.7777777777777777,21.0,887.0,76.54545454545455,2.0,1
010012,DEKALB REGIONAL MEDICAL CENTER,AL,DE KALB,Acute Care Hospitals,Proprietary,1,2.0,0.0,0.0,2.0,2.888888888888889,15.0,265.0,75.6,2.0,1
010016,SHELBY BAPTIST MEDICAL CENTER,AL,SHELBY,Acute Care Hospitals,Voluntary non-profit - Private,1,2.0,0.0,1.0,1.0,2.3333333333333335,19.0,881.0,57.0,2.0,1
010018,UAB CALLAHAN EYE HOSPITAL AUTHORITY,AL,JEFFERSON,Acute Care Hospitals,Voluntary non-profit - Private,1,,,0.0,0.0,,28.0,52.0,28.0,0.0,0
010019,HELEN KELLER HOSPITAL,AL,COLBERT,Acute Care Hospitals,Government - Hospital District or Authority,1,2.0,1.0,0.0,1.0,3.7777777777777777,18.0,413.0,67.33333333333333,2.0,1
010021,DALE MEDICAL CENTER,AL,DALE,Acute Care Hospitals,Government - Hospital District or Authority,1,,0.0,0.0,1.0,,16.0,69.0,61.1,1.0,1
010022,FLOYD CHEROKEE MEDICAL CENTER,AL,CHEROKEE,Acute Care Hospitals,Proprietary,1,,0.0,0.0,0.0,,20.0,49.0,40.75,0.0,0
010023,BAPTIST MEDICAL CENTER SOUTH,AL,MONTGOMERY,Acute Care Hospitals,Government - Hospital District or Authority,1,2.0,1.0,1.0,2.0,3.0,19.0,1512.0,65.16666666666667,4.0,1
