facility_id,facility_name,state,hospital_type,hospital_ownership,overall_rating,patient_star_avg,predicted_risk,risk_rank
230195,Henry Ford Health Warren Hospital,MI,Acute Care Hospitals,Voluntary non-profit - Private,1.0,1.4444444444444444,0.951,1
310039,RARITAN BAY MEDICAL CENTER,NJ,Acute Care Hospitals,Voluntary non-profit - Private,4.0,2.0,0.95,2
310108,JFK UNIVERSITY MEDICAL CENTER,NJ,Acute Care Hospitals,Voluntary non-profit - Private,3.0,2.0,0.948,3
310038,ROBERT WOOD JOHNSON UNIVERSITY HOSPITAL,NJ,Acute Care Hospitals,Voluntary non-profit - Private,2.0,2.888888888888889,0.948,3
230020,BEAUMONT HOSPITAL - DEARBORN,MI,Acute Care Hospitals,Voluntary non-profit - Private,2.0,1.5555555555555556,0.944,5
100243,HCA FLORIDA BRANDON HOSPITAL,FL,Acute Care Hospitals,Proprietary,3.0,2.2222222222222223,0.941,6
230227,MCLAREN MACOMB,MI,Acute Care Hospitals,Voluntary non-profit - Private,1.0,1.7777777777777777,0.941,6
330141,LONG ISLAND COMMUNITY HOSPITAL,NY,Acute Care Hospitals,Voluntary non-profit - Private,4.0,1.7777777777777777,0.94,8
490022,MARY WASHINGTON HOSPITAL,VA,Acute Care Hospitals,Voluntary non-profit - Private,3.0,2.555555555555556,0.94,8
330194,MAIMONIDES MEDICAL CENTER,NY,Acute Care Hospitals,Voluntary non-profit - Private,2.0,2.111111111111111,0.94,8
180141,UNIVERSITY OF LOUISVILLE HOSPITAL,KY,Acute Care Hospitals,Voluntary non-profit - Private,1.0,2.333333333333333,0.939,11
330104,NYACK HOSPITAL,NY,Acute Care Hospitals,Voluntary non-profit - Private,2.0,2.0,0.938,12
230151,BEAUMONT HOSPITAL - FARMINGTON HILLS,MI,Acute Care Hospitals,Voluntary non-profit - Private,3.0,1.5555555555555556,0.938,12
310009,CLARA MAASS MEDICAL CENTER,NJ,Acute Care Hospitals,Voluntary non-profit - Private,3.0,2.7777777777777777,0.937,14
180040,UOFL HEALTH - JEWISH HOSPITAL and Mary & Elizabeth Hospital,KY,Acute Care Hospitals,Voluntary non-profit - Private,2.0,2.2222222222222223,0.937,14
310044,CAPITAL HEALTH MEDICAL CENTER - HOPEWELL,NJ,Acute Care Hospitals,Voluntary non-profit - Private,2.0,2.333333333333333,0.936,16
110107,ATRIUM HEALTH NAVICENT THE MEDICAL CENTER,GA,Acute Care Hospitals,Government - Hospital District or Authority,2.0,2.0,0.936,16
040036,BAPTIST HEALTH MEDICAL CENTER NORTH LITTLE ROCK,AR,Acute Care Hospitals,Voluntary non-profit - Private,1.0,1.8888888888888888,0.936,16
490024,CARILION MEDICAL CENTER,VA,Acute Care Hospitals,Voluntary non-profit - Private,3.0,2.888888888888889,0.935,19
330233,BROOKDALE HOSPITAL MEDICAL CENTER,NY,Acute Care Hospitals,Voluntary non-profit - Private,1.0,1.3333333333333333,0.935,19
100039,BROWARD HEALTH MEDICAL CENTER,FL,Acute Care Hospitals,Government - Hospital District or Authority,3.0,2.0,0.935,19
100242,HCA FLORIDA GULF COAST HOSPITAL,FL,Acute Care Hospitals,Proprietary,2.0,2.0,0.935,19
310092,CAPITAL HEALTH REGIONAL MEDICAL CENTER,NJ,Acute Care Hospitals,Voluntary non-profit - Private,2.0,1.5555555555555556,0.935,19
100161,CENTRAL FLORIDA LAKE MONROE HOSPITAL,FL,Acute Care Hospitals,Proprietary,2.0,1.3333333333333333,0.934,24
100110,HCA FLORIDA OSCEOLA HOSPITAL,FL,Acute Care Hospitals,Proprietary,2.0,2.0,0.934,24
310076,COOPERMAN BARNABAS MEDICAL CENTER,NJ,Acute Care Hospitals,Voluntary non-profit - Private,3.0,3.0,0.933,26
250104,ANDERSON REGIONAL MEDICAL CENTER,MS,Acute Care Hospitals,Voluntary non-profit - Private,2.0,2.0,0.933,26
100179,HCA FLORIDA MEMORIAL HOSPITAL,FL,Acute Care Hospitals,Proprietary,2.0,2.111111111111111,0.933,26
100246,HCA FLORIDA LAWNWOOD HOSPITAL,FL,Acute Care Hospitals,Proprietary,1.0,1.8888888888888888,0.932,29
330013,ALBANY MEDICAL CENTER HOSPITAL,NY,Acute Care Hospitals,Voluntary non-profit - Private,1.0,1.6666666666666667,0.931,30
100080,HCA FLORIDA JFK HOSPITAL,FL,Acute Care Hospitals,Proprietary,2.0,1.6666666666666667,0.931,30
100224,UNIVERSITY HOSPITAL AND MEDICAL CENTER,FL,Acute Care Hospitals,Proprietary,2.0,1.6666666666666667,0.93,32
100254,HCA FLORIDA CAPITAL HOSPITAL,FL,Acute Care Hospitals,Proprietary,2.0,2.0,0.93,32
330153,ELLIS HOSPITAL,NY,Acute Care Hospitals,Voluntary non-profit - Private,3.0,2.111111111111111,0.93,32
110069,EMORY HOUSTON HOSPITAL WARNER ROBINS,GA,Acute Care Hospitals,Voluntary non-profit - Private,2.0,2.111111111111111,0.93,32
230207,MCLAREN OAKLAND,MI,Acute Care Hospitals,Voluntary non-profit - Private,2.0,1.6666666666666667,0.93,32
310073,JERSEY SHORE UNIVERSITY MEDICAL CENTER,NJ,Acute Care Hospitals,Voluntary non-profit - Private,4.0,2.6666666666666665,0.929,37
100248,HCA FLORIDA LARGO HOSPITAL,FL,Acute Care Hospitals,Proprietary,2.0,1.7777777777777777,0.929,37
310001,HACKENSACK UNIVERSITY MEDICAL CENTER,NJ,Acute Care Hospitals,Voluntary non-profit - Private,5.0,2.888888888888889,0.928,39
100238,HCA FLORIDA NORTHSIDE HOSPITAL,FL,Acute Care Hospitals,Proprietary,1.0,1.8888888888888888,0.928,39
100086,BROWARD HEALTH NORTH,FL,Acute Care Hospitals,Government - Hospital District or Authority,3.0,2.2222222222222223,0.928,39
100131,HCA FLORIDA AVENTURA HOSPITAL,FL,Acute Care Hospitals,Voluntary non-profit - Private,3.0,2.111111111111111,0.927,42
330224,HEALTHALLIANCE HOSPITAL MARYS AVENUE CAMPUS,NY,Acute Care Hospitals,Voluntary non-profit - Private,1.0,1.3333333333333333,0.926,43
330395,ST JOHN'S EPISCOPAL HOSPITAL AT SOUTH SHORE,NY,Acute Care Hospitals,Voluntary non-profit - Private,1.0,1.5555555555555556,0.926,43
100035,MANATEE MEMORIAL HOSPITAL,FL,Acute Care Hospitals,Proprietary,3.0,2.0,0.926,43
310003,PALISADES MEDICAL CENTER,NJ,Acute Care Hospitals,Voluntary non-profit - Private,2.0,2.111111111111111,0.925,46
490059,BON SECOURS ST MARYS HOSPITAL,VA,Acute Care Hospitals,Voluntary non-profit - Private,5.0,3.0,0.925,46
390270,GEISINGER WYOMING VALLEY MEDICAL CENTER,PA,Acute Care Hospitals,Voluntary non-profit - Private,4.0,2.333333333333333,0.924,48
160083,MERCYONE DES MOINES MEDICAL CENTER,IA,Acute Care Hospitals,Voluntary non-profit - Private,1.0,1.8888888888888888,0.924,48
100167,HCA FLORIDA MERCY HOSPITAL,FL,Acute Care Hospitals,Voluntary non-profit - Private,2.0,2.333333333333333,0.924,48
040114,BAPTIST HEALTH MEDICAL CENTER-LITTLE ROCK,AR,Acute Care Hospitals,Voluntary non-profit - Private,3.0,2.2222222222222223,0.924,48
230142,COREWELL HEALTH WAYNE HOSPITAL,MI,Acute Care Hospitals,Voluntary non-profit - Private,2.0,1.4444444444444444,0.923,52
100209,HCA FLORIDA KENDALL HOSPITAL,FL,Acute Care Hospitals,Proprietary,4.0,2.2222222222222223,0.922,53
310014,COOPER UNIVERSITY HOSPITAL,NJ,Acute Care Hospitals,Voluntary non-profit - Private,2.0,2.6666666666666665,0.922,53
360003,"UNIVERSITY OF CINCINNATI MEDICAL CENTER, LLC",OH,Acute Care Hospitals,Voluntary non-profit - Private,3.0,2.7777777777777777,0.921,55
310074,JERSEY CITY MEDICAL CENTER,NJ,Acute Care Hospitals,Voluntary non-profit - Private,3.0,2.888888888888889,0.921,55
490120,CHESAPEAKE GENERAL HOSPITAL,VA,Acute Care Hospitals,Government - Hospital District or Authority,3.0,2.888888888888889,0.921,55
490017,BON SECOURS MARYVIEW MEDICAL CENTER,VA,Acute Care Hospitals,Voluntary non-profit - Private,3.0,2.6666666666666665,0.921,55
330158,GOOD SAMARITAN HOSPITAL OF SUFFERN,NY,Acute Care Hospitals,Voluntary non-profit - Private,3.0,2.2222222222222223,0.921,55
100137,ADVENTHEALTH HEART OF FLORIDA,FL,Acute Care Hospitals,Proprietary,3.0,2.4444444444444446,0.921,55
310002,NEWARK BETH ISRAEL MEDICAL CENTER,NJ,Acute Care Hospitals,Voluntary non-profit - Private,2.0,2.333333333333333,0.92,61
330399,ST BARNABAS HOSPITAL,NY,Acute Care Hospitals,Voluntary non-profit - Private,1.0,1.7777777777777777,0.92,61
100062,ADVENTHEALTH OCALA,FL,Acute Care Hospitals,Government - Hospital District or Authority,4.0,2.555555555555556,0.919,63
220077,BAYSTATE MEDICAL CENTER,MA,Acute Care Hospitals,Voluntary non-profit - Private,2.0,2.333333333333333,0.919,63
100269,HCA FLORIDA PALMS WEST HOSPITAL,FL,Acute Care Hospitals,Proprietary,2.0,2.0,0.919,63
140228,UW HEALTH,IL,Acute Care Hospitals,Voluntary non-profit - Private,3.0,2.888888888888889,0.919,63
340028,CAPE FEAR VALLEY MEDICAL CENTER,NC,Acute Care Hospitals,Voluntary non-profit - Private,2.0,2.7777777777777777,0.918,67
340004,HIGH POINT REGIONAL HEALTH SYSTEM,NC,Acute Care Hospitals,Voluntary non-profit - Private,2.0,2.333333333333333,0.918,67
330125,ROCHESTER GENERAL HOSPITAL,NY,Acute Care Hospitals,Voluntary non-profit - Private,2.0,2.0,0.918,67
100275,WELLINGTON REGIONAL MEDICAL CENTER,FL,Acute Care Hospitals,Proprietary,2.0,1.7777777777777777,0.917,70
100189,HCA FLORIDA NORTHWEST HOSPITAL,FL,Acute Care Hospitals,Proprietary,2.0,1.4444444444444444,0.917,70
290007,UNIVERSITY MEDICAL CENTER,NV,Acute Care Hospitals,Voluntary non-profit - Other,2.0,1.7777777777777777,0.917,70
110079,GRADY MEMORIAL HOSPITAL,GA,Acute Care Hospitals,Voluntary non-profit - Private,2.0,2.333333333333333,0.916,73
100128,TAMPA GENERAL HOSPITAL,FL,Acute Care Hospitals,Voluntary non-profit - Private,3.0,2.6666666666666665,0.916,73
450388,METHODIST HOSPITAL,TX,Acute Care Hospitals,Proprietary,4.0,2.4444444444444446,0.916,73
330394,"UNITED HEALTH SERVICES HOSPITALS, INC",NY,Acute Care Hospitals,Voluntary non-profit - Private,2.0,2.7777777777777777,0.915,76
190111,WILLIS KNIGHTON MEDICAL CENTER,LA,Acute Care Hospitals,Voluntary non-profit - Private,3.0,3.0,0.915,76
330101,NEW YORK-PRESBYTERIAN HOSPITAL,NY,Acute Care Hospitals,Voluntary non-profit - Private,5.0,2.888888888888889,0.915,76
100264,HCA FLORIDA OAK HILL HOSPITAL,FL,Acute Care Hospitals,Proprietary,1.0,2.0,0.914,79
310112,BAYSHORE MEDICAL CENTER,NJ,Acute Care Hospitals,Voluntary non-profit - Private,4.0,2.6666666666666665,0.914,79
100002,BETHESDA HOSPITAL EAST,FL,Acute Care Hospitals,Voluntary non-profit - Private,2.0,2.0,0.914,79
310064,ATLANTICARE REGIONAL MEDICAL CENTER - CITY CAMPUS,NJ,Acute Care Hospitals,Voluntary non-profit - Private,4.0,2.7777777777777777,0.914,79
220010,MERRIMACK HEALTH LAWRENCE HOSPITAL,MA,Acute Care Hospitals,Voluntary non-profit - Private,2.0,2.555555555555556,0.914,79
490113,SENTARA NORTHERN VIRGINIA MEDICAL CENTER,VA,Acute Care Hospitals,Voluntary non-profit - Private,3.0,3.0,0.914,79
330059,MONTEFIORE MEDICAL CENTER,NY,Acute Care Hospitals,Voluntary non-profit - Private,3.0,2.333333333333333,0.913,85
100213,HCA FLORIDA BLAKE HOSPITAL,FL,Acute Care Hospitals,Proprietary,2.0,2.0,0.913,85
360354,WEST CHESTER HOSPITAL,OH,Acute Care Hospitals,Voluntary non-profit - Private,3.0,2.888888888888889,0.913,85
360086,SPRINGFIELD REGIONAL MEDICAL CENTER,OH,Acute Care Hospitals,Voluntary non-profit - Private,4.0,2.333333333333333,0.913,85
